timestamp,F_USS,L_USS,R_USS,L_ENCD,R_ENCD,L_ENCD_COV,R_ENCD_COV,HEAD
1752974481.7968686,19,23,9,37,101,3.9292313573901403,10.821815064823744,17
1752974481.8468702,19,23,9,37,101,3.9292313573901403,10.821815064823744,12
1752974481.896873,19,23,9,37,101,3.9292313573901403,10.821815064823744,4
1752974481.946874,19,23,9,37,101,3.9292313573901403,10.821815064823744,323
1752974481.99688,19,24,9,37,103,3.9292313573901403,11.036108432444015,11
1752974482.0468912,19,24,9,37,107,3.9292313573901403,11.46469516768456,8
1752974482.0968935,19,24,9,37,107,3.9292313573901403,11.46469516768456,8
1752974482.1468937,19,24,10,37,114,3.9292313573901403,12.214721954355513,19
1752974482.1969051,19,24,10,37,114,3.9292313573901403,12.214721954355513,19
1752974482.256372,21,24,18,37,124,3.9292313573901403,13.286188792456873,22
1752974482.3063889,20,24,18,37,128,3.9292313573901403,13.714775527697418,16
1752974482.3563833,20,24,18,37,134,3.9292313573901403,14.357655630558234,9
1752974482.406403,20,24,18,37,134,3.9292313573901403,14.357655630558234,9
1752974482.4564085,20,24,19,37,141,3.9292313573901403,15.107682417229187,12
1752974482.506422,20,24,19,37,141,3.9292313573901403,15.107682417229187,12
1752974482.5564277,21,24,21,37,151,3.9292313573901403,16.179149255330547,3
1752974482.6064434,21,24,21,37,151,3.9292313573901403,16.179149255330547,3
1752974482.656448,21,24,20,37,161,3.9292313573901403,17.25061609343191,359
1752974482.7064614,21,24,20,37,161,3.9292313573901403,17.25061609343191,359
1752974482.756474,31,24,20,37,171,3.9292313573901403,18.32208293153327,353
1752974482.8064806,31,24,20,37,171,3.9292313573901403,18.32208293153327,353
1752974482.8564916,31,24,20,37,179,3.9292313573901403,19.179256402014357,352
1752974482.906504,31,24,20,37,179,3.9292313573901403,19.179256402014357,352
1752974482.9565077,32,24,20,37,179,3.9292313573901403,19.179256402014357,350
1752974483.0065176,32,24,20,37,179,3.9292313573901403,19.179256402014357,350
1752974483.0565262,32,24,21,37,181,3.9292313573901403,19.393549769634628,351
1752974483.106531,32,24,21,37,181,3.9292313573901403,19.393549769634628,351
1752974483.156534,32,24,20,37,181,3.9292313573901403,19.393549769634628,352
1752974483.2065449,32,24,20,37,181,3.9292313573901403,19.393549769634628,352
1752974483.2565517,32,24,20,37,181,3.9292313573901403,19.393549769634628,352
1752974483.306551,32,24,20,37,181,3.9292313573901403,19.393549769634628,353
1752974483.3565674,32,24,20,37,181,3.9292313573901403,19.393549769634628,353
1752974483.4065735,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.4565768,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.5065894,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.561476,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.6114464,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.661446,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.7114577,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.7760692,32,24,20,37,181,3.9292313573901403,19.393549769634628,350
1752974483.826046,32,24,20,37,181,3.9292313573901403,19.393549769634628,350
1752974483.87605,32,24,20,37,181,3.9292313573901403,19.393549769634628,349
1752974483.9260542,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974483.9761012,32,24,20,37,181,3.9292313573901403,19.393549769634628,350
1752974484.0261111,32,24,20,37,181,3.9292313573901403,19.393549769634628,352
1752974484.07704,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974484.127053,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974484.1770568,32,24,20,37,181,3.9292313573901403,19.393549769634628,351
1752974484.2270572,32,24,20,37,181,3.9292313573901403,19.393549769634628,352
